epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4812.77,2.00239,1.10529,0.9773,0.79507,0.70559,0.76703,0.31019,2.15883,1.1737,0.95153,0.000666324,0.000666324,0.000666324
2,10199.6,2.03448,1.1412,0.98082,0.79803,0.7123,0.76786,0.30934,2.16651,1.17637,0.95693,0.00126701,0.00126701,0.00126701
3,15986.6,2.07157,1.17716,0.98514,0.80371,0.69521,0.76021,0.30603,2.18386,1.23928,0.96152,0.00180169,0.00180169,0.00180169
4,20855.2,2.06093,1.16392,0.98772,0.81393,0.72634,0.77673,0.31031,2.18852,1.16901,0.96263,0.001703,0.001703,0.001703
5,24887.6,2.03842,1.1311,0.98012,0.82961,0.72347,0.79225,0.32262,2.14175,1.14397,0.95416,0.001604,0.001604,0.001604
6,28927,2.01237,1.09943,0.97774,0.817,0.74181,0.79977,0.32808,2.09729,1.12399,0.94827,0.001505,0.001505,0.001505
7,33154.6,2.00101,1.09313,0.97618,0.82066,0.73506,0.79504,0.32801,2.10314,1.13207,0.9473,0.001406,0.001406,0.001406
8,37547.7,1.98514,1.06794,0.96943,0.83473,0.74737,0.80664,0.33692,2.09108,1.09781,0.94649,0.001307,0.001307,0.001307
9,41673.5,1.97283,1.05376,0.96956,0.83271,0.74958,0.8131,0.34386,2.06337,1.09069,0.94197,0.001208,0.001208,0.001208
10,46069.8,1.95308,1.03105,0.96328,0.82929,0.75968,0.81976,0.34756,2.05016,1.06746,0.93736,0.001109,0.001109,0.001109
11,50105.2,1.9122,1.0122,0.97948,0.84593,0.75968,0.82614,0.3488,2.06035,1.05727,0.94063,0.00101,0.00101,0.00101
12,54119.8,1.88107,0.9936,0.96992,0.84036,0.76273,0.82706,0.35279,2.04494,1.0488,0.93684,0.000911,0.000911,0.000911
13,58118.9,1.88528,0.98165,0.96848,0.84211,0.76259,0.82693,0.35182,2.04457,1.04958,0.93857,0.000812,0.000812,0.000812
14,62116.9,1.85769,0.95136,0.96766,0.84202,0.77117,0.8344,0.3564,2.02618,1.04027,0.93265,0.000713,0.000713,0.000713
15,66299,1.84945,0.95178,0.96517,0.84953,0.77406,0.83565,0.35907,2.02503,1.03462,0.93542,0.000614,0.000614,0.000614
16,70848.9,1.8375,0.92494,0.96443,0.84885,0.78084,0.83798,0.36089,2.02899,1.02717,0.93385,0.000515,0.000515,0.000515
17,74900.7,1.83032,0.91816,0.96035,0.84963,0.78174,0.83862,0.36262,2.01861,1.02478,0.93194,0.000416,0.000416,0.000416
18,78951.1,1.81202,0.8995,0.95765,0.84799,0.78058,0.83947,0.3634,2.02145,1.01998,0.9327,0.000317,0.000317,0.000317
19,82992.4,1.79507,0.89009,0.94897,0.85462,0.77961,0.84,0.364,2.01689,1.01636,0.93178,0.000218,0.000218,0.000218
20,87184,1.78889,0.87972,0.94813,0.8532,0.77999,0.84028,0.36521,2.0143,1.01494,0.93186,0.000119,0.000119,0.000119
