epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4173.83,2.28659,3.23022,1.0729,0.75859,0.5927,0.62921,0.21885,2.45728,1.56821,1.01753,0.000666324,0.000666324,0.000666324
2,16258.4,2.22269,1.46118,1.05849,0.74662,0.62699,0.66266,0.24088,2.33772,1.42656,1.00519,0.00120102,0.00120102,0.00120102
3,24218.7,2.17268,1.39048,1.04263,0.74829,0.65537,0.70277,0.26642,2.27617,1.30676,0.98378,0.00160372,0.00160372,0.00160372
4,31174.2,2.11975,1.28954,1.02833,0.75218,0.66146,0.70502,0.25936,2.26171,1.29815,0.97333,0.001406,0.001406,0.001406
5,38389.8,2.08324,1.21906,1.02321,0.79671,0.70865,0.7594,0.30297,2.18841,1.17172,0.96545,0.001208,0.001208,0.001208
6,46543,2.02966,1.16435,1.00569,0.7923,0.70455,0.76704,0.31104,2.16716,1.16748,0.95625,0.00101,0.00101,0.00101
7,53939.3,1.99496,1.1206,0.99921,0.81431,0.71887,0.77912,0.31804,2.14874,1.14388,0.9557,0.000812,0.000812,0.000812
8,61222.1,1.96095,1.0719,0.99023,0.82014,0.73547,0.7938,0.32697,2.1291,1.11085,0.95174,0.000614,0.000614,0.000614
9,65076.7,1.92464,1.03543,0.98261,0.82589,0.74848,0.80601,0.33162,2.09316,1.08659,0.94673,0.000416,0.000416,0.000416
10,68836.5,1.89038,0.99232,0.97245,0.83516,0.75443,0.81623,0.34569,2.07315,1.0615,0.94145,0.000218,0.000218,0.000218
